SOAL;PILIHAN A;PILIHAN B;PILIHAN C;PILIHAN D;PILIHAN E;KUNCI JAWABAN;;;;;;
"      (PAR1)Industri tekstil dan garmen saat ini menjadi industri strategis bagi perekonomian negara mengingat Indonesia memiliki 250 juta penduduk. Industri ini merupakan sektor manufaktur terbesar ketiga dan menjadi salah satu industri yang paling banyak menyerap tenaga kerja. Pada tahun 2017, ekspor tekstil dan produk tekstil Indonesia mencapai US$12,4 miliar yang mana melebihi target Asosiasi Pertekstilan Indonesia (API) sebesar US$11,8 miliar.      (PAR2)Pakaian jadi (konveksi) merupakan salah satu andalan ekspor nonmigas Indonesia. Nilai ekspor konveksi tekstil tersebut merupakan terbesar ketiga setelah batu bara US$20,63 miliar dan minyak sawit US$17,89 miliar. Data Badan Pusat Statistik mencatat nilai ekspor pakaian jadi nasional ke AS sepanjang 2018 mencapai US$3,78 miliar (Rp52,87 triliun) tumbuh 9,3% dari tahun sebelumnya. Negara tujuan ekspor konveksi terbesar kedua adalah Jepang dengan nilai US$740,9 juta dan ketiga adalah Jerman dengan nilai US$372,48 juta. Data10 negara tujuan utama ekspor pakaian jadi Indonesia disajikan dalam data statistik berikut. Amerika = 3800 jt us dollar ; Jepang = 740,9 jt us dollar ; Jerman = 382 jt us dollar ; Korea = 347,2 jt us dollar ; Tiongkok = 244,6 jt us dollarInggris = 168,7 jt us dollar ; Australia = 180,3 jt us dollar ; Kanada = 178,8 jt us dollar ; Belgia = 146,5 jt us dollar ; Malaysia = 77,6 jt us dollar. Berdasarkan paragraf 1, manakah di bawah ini pernyataan yang benar?";Industri tekstil dan garmen menyerap 250 juta tenaga kerja.;Industri tekstil termasuk tiga besar sektor manufaktur Indonesia.;Industri tekstil berhasil mengekspor produk senilai US$11,8 miliar.;Industri tekstil merupakan kebutuhan pokok seluruh rakyat Indonesia.;Industri tekstil tanah air dipantau oleh Asosiasi Pertekstilan Indonesia(API).;b;;;;;;Industri tekstil termasuk tiga besar sektor manufaktur Indonesia. [benar, sesuai isi paragraf 1]
"      (PAR1)Industri tekstil dan garmen saat ini menjadi industri strategis bagi perekonomian negara mengingat Indonesia memiliki 250 juta penduduk. Industri ini merupakan sektor manufaktur terbesar ketiga dan menjadi salah satu industri yang paling banyak menyerap tenaga kerja. Pada tahun 2017, ekspor tekstil dan produk tekstil Indonesia mencapai US$12,4 miliar yang mana melebihi target Asosiasi Pertekstilan Indonesia (API) sebesar US$11,8 miliar.      (PAR2)Pakaian jadi (konveksi) merupakan salah satu andalan ekspor nonmigas Indonesia. Nilai ekspor konveksi tekstil tersebut merupakan terbesar ketiga setelah batu bara US$20,63 miliar dan minyak sawit US$17,89 miliar. Data Badan Pusat Statistik mencatat nilai ekspor pakaian jadi nasional ke AS sepanjang 2018 mencapai US$3,78 miliar (Rp52,87 triliun) tumbuh 9,3% dari tahun sebelumnya. Negara tujuan ekspor konveksi terbesar kedua adalah Jepang dengan nilai US$740,9 juta dan ketiga adalah Jerman dengan nilai US$372,48 juta. Data10 negara tujuan utama ekspor pakaian jadi Indonesia disajikan dalam data statistik berikut. Amerika = 3800 jt us dollar ; Jepang = 740,9 jt us dollar ; Jerman = 382 jt us dollar ; Korea = 347,2 jt us dollar ; Tiongkok = 244,6 jt us dollarInggris = 168,7 jt us dollar ; Australia = 180,3 jt us dollar ; Kanada = 178,8 jt us dollar ; Belgia = 146,5 jt us dollar ; Malaysia = 77,6 jt us dollar.  Berdasarkan paragraf 1, jika penduduk Indonesia berjumlah 250 juta jiwa, manakah di bawah ini simpulan yang benar?";Setiap penduduk dapat memproduksi garmen.;Setiap penduduk membutuhkan produk pakaian jadi.;Setiap penduduk dapat memulai usaha di sektor manufaktur.;Setiap penduduk harus bekerja di industri tekstil dan garmen.;Setiap penduduk dapat menjadi anggota Asosiasi Pertekstilan Indonesia (API).;b;;;;;;Jika penduduk Indonesia berjumlah 250 juta jiwa, berarti pangsa pasar industri garmen sangat luas. Hal ini karena setiap penduduk membutuhkan produk pakaian jadi yang notabene merupakan kebutuhan primer setiap warga negara Indonesia. Jadi, simpulan yang benar adalah setiap penduduk membutuhkan produk pakaian jadi (B).
"      (PAR1)Industri tekstil dan garmen saat ini menjadi industri strategis bagi perekonomian negara mengingat Indonesia memiliki 250 juta penduduk. Industri ini merupakan sektor manufaktur terbesar ketiga dan menjadi salah satu industri yang paling banyak menyerap tenaga kerja. Pada tahun 2017, ekspor tekstil dan produk tekstil Indonesia mencapai US$12,4 miliar yang mana melebihi target Asosiasi Pertekstilan Indonesia (API) sebesar US$11,8 miliar.      (PAR2)Pakaian jadi (konveksi) merupakan salah satu andalan ekspor nonmigas Indonesia. Nilai ekspor konveksi tekstil tersebut merupakan terbesar ketiga setelah batu bara US$20,63 miliar dan minyak sawit US$17,89 miliar. Data Badan Pusat Statistik mencatat nilai ekspor pakaian jadi nasional ke AS sepanjang 2018 mencapai US$3,78 miliar (Rp52,87 triliun) tumbuh 9,3% dari tahun sebelumnya. Negara tujuan ekspor konveksi terbesar kedua adalah Jepang dengan nilai US$740,9 juta dan ketiga adalah Jerman dengan nilai US$372,48 juta. Data10 negara tujuan utama ekspor pakaian jadi Indonesia disajikan dalam data statistik berikut. Amerika = 3800 jt us dollar ; Jepang = 740,9 jt us dollar ; Jerman = 382 jt us dollar ; Korea = 347,2 jt us dollar ; Tiongkok = 244,6 jt us dollarInggris = 168,7 jt us dollar ; Australia = 180,3 jt us dollar ; Kanada = 178,8 jt us dollar ; Belgia = 146,5 jt us dollar ; Malaysia = 77,6 jt us dollar.  Berdasarkan paragraf 2, manakah pernyataan di bawah ini yang paling mungkin benar mengenai industri konveksi?";Industri konveksi merupakan produk ekspor impor Indonesia.;Industri konveksi termasuk dalam pendapatan sektor nonmigas.;Industri konveksi memiliki nilai ekspor lebih tinggi daripada batu bara.;Industri konveksi merupakan sektor manufaktur terbesar di Indonesia.;Industri konveksi memiliki nilai ekspor lebih tinggi daripada kelapa sawit.;b;;;;;;Industri konveksi termasuk dalam pendapatan sektor nonmigas. [benar, sesuai kalimat pertama paragraf kedua]. Jadi, pernyataan yang paling mungkin benar adalah industri konveksi termasuk dalam pendapatan sektor nonmigas (B).
"      (PAR1)Industri tekstil dan garmen saat ini menjadi industri strategis bagi perekonomian negara mengingat Indonesia memiliki 250 juta penduduk. Industri ini merupakan sektor manufaktur terbesar ketiga dan menjadi salah satu industri yang paling banyak menyerap tenaga kerja. Pada tahun 2017, ekspor tekstil dan produk tekstil Indonesia mencapai US$12,4 miliar yang mana melebihi target Asosiasi Pertekstilan Indonesia (API) sebesar US$11,8 miliar.      (PAR2)Pakaian jadi (konveksi) merupakan salah satu andalan ekspor nonmigas Indonesia. Nilai ekspor konveksi tekstil tersebut merupakan terbesar ketiga setelah batu bara US$20,63 miliar dan minyak sawit US$17,89 miliar. Data Badan Pusat Statistik mencatat nilai ekspor pakaian jadi nasional ke AS sepanjang 2018 mencapai US$3,78 miliar (Rp52,87 triliun) tumbuh 9,3% dari tahun sebelumnya. Negara tujuan ekspor konveksi terbesar kedua adalah Jepang dengan nilai US$740,9 juta dan ketiga adalah Jerman dengan nilai US$372,48 juta. Data10 negara tujuan utama ekspor pakaian jadi Indonesia disajikan dalamdata statistik berikut. Amerika = 3800 jt us dollar ; Jepang = 740,9 jt us dollar ; Jerman = 382 jt us dollar ; Korea = 347,2 jt us dollar ; Tiongkok = 244,6 jt us dollarInggris = 168,7 jt us dollar ; Australia = 180,3 jt us dollar ; Kanada = 178,8 jt us dollar ; Belgia = 146,5 jt us dollar ; Malaysia = 77,6 jt us dollar.  Berdasarkan paragraf 2, manakah di bawah ini simpulan yang paling mungkin benar mengenai ekspor pakaian jadi Indonesia?";Pertumbuhan pasar ekspor pakaian jadi Indonesia naik 9,3%.;Jepang merupakan pasar utama produk pakaian jadi Indonesia.;Pasar utama produk pakaian jadi Indonesia adalah Amerika Serikat.;Amerika Serikat dan Jerman merupakan dua negara dengan nilai ekspor tertinggi.;Nilai ekspor pakaian jadi Indonesia ke Amerika Serikat lebih sedikit daripada tahun lalu.;c;;;;;;Pasar utama produk pakaian jadi Indonesia adalah Amerika Serikat. [benar, sesuai isi paragraf kedua dan grafik]. Jadi, simpulan yang paling mungkin benar mengenai ekspor pakaian jadi Indonesia adalah pasar utama produk pakaian jadi Indonesia adalah Amerika Serikat (C).
"      (PAR1)Industri tekstil dan garmen saat ini menjadi industri strategis bagi perekonomian negara mengingat Indonesia memiliki 250 juta penduduk. Industri ini merupakan sektor manufaktur terbesar ketiga dan menjadi salah satu industri yang paling banyak menyerap tenaga kerja. Pada tahun 2017, ekspor tekstil dan produk tekstil Indonesia mencapai US$12,4 miliar yang mana melebihi target Asosiasi Pertekstilan Indonesia (API) sebesar US$11,8 miliar.      (PAR2)Pakaian jadi (konveksi) merupakan salah satu andalan ekspor nonmigas Indonesia. Nilai ekspor konveksi tekstil tersebut merupakan terbesar ketiga setelah batu bara US$20,63 miliar dan minyak sawit US$17,89 miliar. Data Badan Pusat Statistik mencatat nilai ekspor pakaian jadi nasional ke AS sepanjang 2018 mencapai US$3,78 miliar (Rp52,87 triliun) tumbuh 9,3% dari tahun sebelumnya. Negara tujuan ekspor konveksi terbesar kedua adalah Jepang dengan nilai US$740,9 juta dan ketiga adalah Jerman dengan nilai US$372,48 juta. Data10 negara tujuan utama ekspor pakaian jadi Indonesia disajikan dalamdata statistik berikut. Amerika = 3800 jt us dollar ; Jepang = 740,9 jt us dollar ; Jerman = 382 jt us dollar ; Korea = 347,2 jt us dollar ; Tiongkok = 244,6 jt us dollarInggris = 168,7 jt us dollar ; Australia = 180,3 jt us dollar ; Kanada = 178,8 jt us dollar ; Belgia = 146,5 jt us dollar ; Malaysia = 77,6 jt us dollar.  Berdasarkan data statistik, negara tujuan ekspor manakah yang memberikan nilai ekspor terendah ketiga?";Belgia;Inggris;Kanada;Malaysia;Australia;c;;;;;;Negara tujuan ekspor terendah ketiga adalah Kanada dengan nilai ekspor US$178,8 juta. Jadi, negara tujuan ekspor yang memberikan nilai ekspor terendah ketiga adalah Kanada (C).
"      (PAR1)Industri tekstil dan garmen saat ini menjadi industri strategis bagi perekonomian negara mengingat Indonesia memiliki 250 juta penduduk. Industri ini merupakan sektor manufaktur terbesar ketiga dan menjadi salah satu industri yang paling banyak menyerap tenaga kerja. Pada tahun 2017, ekspor tekstil dan produk tekstil Indonesia mencapai US$12,4 miliar yang mana melebihi target Asosiasi Pertekstilan Indonesia (API) sebesar US$11,8 miliar.      (PAR2)Pakaian jadi (konveksi) merupakan salah satu andalan ekspor nonmigas Indonesia. Nilai ekspor konveksi tekstil tersebut merupakan terbesar ketiga setelah batu bara US$20,63 miliar dan minyak sawit US$17,89 miliar. Data Badan Pusat Statistik mencatat nilai ekspor pakaian jadi nasional ke AS sepanjang 2018 mencapai US$3,78 miliar (Rp52,87 triliun) tumbuh 9,3% dari tahun sebelumnya. Negara tujuan ekspor konveksi terbesar kedua adalah Jepang dengan nilai US$740,9 juta dan ketiga adalah Jerman dengan nilai US$372,48 juta. Data10 negara tujuan utama ekspor pakaian jadi Indonesia disajikan dalam data statistik berikut. Jerman = 382 jt us dollar ; Amerika = 3800 jt us dollar ; Korea Selatan = 347,2 jt us dollar ; Jepang = 740,9 jt us dollar ; Tiongkok = 244,6 jt us dollarInggris = 168,7 jt us dollar ; Australia = 180,3 jt us dollar ; Kanada = 178,8 jt us dollar ; Belgia = 146,5 jt us dollar ; Malaysia = 77,6 jt us dollar.  Berdasarkan data statisik, negara tujuan ekspor manakah yang bernilai diantara US$382 juta dan US$244,6?";Jepang;Kanada;Australia;Korea Selatan;Amerika Serikat;d;;;;;;Nilai ekspor ke Korea Selatan sebesar US$347,2 juta. Jadi, negara tujuan ekspor yang bernilai US$347,2 juta adalah Korea Selatan(D).
"      (PAR1)Industri tekstil dan garmen saat ini menjadi industri strategis bagi perekonomian negara mengingat Indonesia memiliki 250 juta penduduk. Industri ini merupakan sektor manufaktur terbesar ketiga dan menjadi salah satu industri yang paling banyak menyerap tenaga kerja. Pada tahun 2017, ekspor tekstil dan produk tekstil Indonesia mencapai US$12,4 miliar yang mana melebihi target Asosiasi Pertekstilan Indonesia (API) sebesar US$11,8 miliar.      (PAR2)Pakaian jadi (konveksi) merupakan salah satu andalan ekspor nonmigas Indonesia. Nilai ekspor konveksi tekstil tersebut merupakan terbesar ketiga setelah batu bara US$20,63 miliar dan minyak sawit US$17,89 miliar. Data Badan Pusat Statistik mencatat nilai ekspor pakaian jadi nasional ke AS sepanjang 2018 mencapai US$3,78 miliar (Rp52,87 triliun) tumbuh 9,3% dari tahun sebelumnya. Negara tujuan ekspor konveksi terbesar kedua adalah Jepang dengan nilai US$740,9 juta dan ketiga adalah Jerman dengan nilai US$372,48 juta. Data10 negara tujuan utama ekspor pakaian jadi Indonesia disajikan dalam data statistik berikut. Jerman = 382 jt us dollar ; Amerika = 3800 jt us dollar ; Korea Selatan = 347,2 jt us dollar ; Jepang = 740,9 jt us dollar ; Tiongkok = 244,6 jt us dollarInggris = 168,7 jt us dollar ; Australia = 180,3 jt us dollar ; Kanada = 178,8 jt us dollar ; Belgia = 146,5 jt us dollar ; Malaysia = 77,6 jt us dollar. Berdasarkan data statistik, negara tujuan ekspor manakah yang memberikan nilai ekspor lebih dari US$500 juta?";Belgia;Jerman;Jepang;Tiongkok;Korea Selatan;c;;;;;;Negara tujuan ekspor yang memberikan nilai ekspor lebih dari US$500 juta adalah Jepang dan Amerika Serikat. Jadi sesuai opsi jawaban yang ada, negara tujuan ekspor yang memberikan nilai ekspor lebih dari US$500 juta adalah Jepang (C).
Sebuah mobil pengangkut barang harus mengangkut 33 3/4 ton barang dari sebuah gunung ke sebuah perumahan. Apabila mobil tersebut tersebut hanya mampu mengangkut 2 1/4 ton barang pada setiap kali angkut, maka berapa kali perjalanan yang harus dilakukan tiga unit mobil untuk mengangkut seluruh barang tersebut?;4 kali;5 kali;13 kali;14 kali;15 kali;b;;;;;;"Unit mobil = 3 unit ; sekali angkut = 2,25 x 3 = 6,75 ; Jumlah perjalanan = 33,75/6,75 = 5 kali (B)"
Budi adalah seorang reseller barang. Ia membeli sebuah komputer bekas dengan harga Rp9.000.000. Kemudian ia memperbaiki sepeda tersebut dengan menghabiskan Rp140.000. Setelah itu, komputer tersebut dijual dan laku dengan harga Rp10.320.000. Persentase untung yang diperoleh Budi adalah…;12.9%;13.5%;11.4%;12.5%;11.8%;a;;;;;;"Modal = 9.000.000 + 140.000 = 9.140.000 ; Untung = 10.320.000-9.140.000 = 1.180.000 ; Persentase untung = 1.180.000/9.140.000 x 100% = 12.9% (A)"
"                        6                                                                                  24
        

    7                   ?               13                                         28               48                52


                       15                                                                                60
";12;8;11;9;14;a;;;;;;Perhatikan angka yang bersebrangan, yaitu 6 dan 24, 7 dan 28 dan seterusnya. Bilangan yang terdapat di kotak sebelah kiri dapat dikali 4 sehingga menghasilkan angka yang di kotak sebelah kanan, sehingga jawabannya adalah (A) 12
"                        8                                                                                    7


   16                4                 24                                           11               ?                15


                       10                                                                                  8
";3;5;7;4;6;b;;;;;;Perhatikan bilangan di sebelah kiri dan kanan. Bilangan di kanan merupakan hasil dari bilangan yang berada di kiri dibagi dengan 2 dan di tambahkan dengan angka 3 sehingga menghasilkan angka di sebelah kanan
Jika x/y = 1/2, nilai dari 5y/2 . 1/x adalah…;6;7;8;5;4;d;;;;;;"x/y = 1/2, maka y/x = 2 ; 5y/2 . 1/x = 5/2 . y/x, substitusikan y/x dengan 2 sehingga menjadi 5/2 . 2 = 5 (D)"
Natasha memiliki 2 jenis pohon anggur di depan rumahnya. Pohon anggur jenis M menghasilkan 20% lebih banyak buah dibanding jenis N. Jika pada suatu hari, Natasha memanen buah anggur jenis M sebanyak 144 buah, maka buah anggur jenis N yang dihasilkan adalah sebanyak ..... buah.;100;115;120;124;130;c;;;;;;"M = 20%N + N, M = 120%N ; N = 100/120 x M ; M = 144 Buah, N =100/120 x 144 = 5/6 x 144 = 120 Buah (C)"
"      (PAR1)Keberhasilan komponen sistem pendidikan dalam melaksanakan fungsinya bergantung pada sarana penunjang satuan-satuan pendidikan. Sarana penunjang sistem tersebut antara lain kurikulum, tenaga kependidikan, serta sumber daya pendidikan dan pengelolaan. Penyediaan sumber daya pendidikan meliputi gedung dan perlengkapannya, sumber belajar, seperti buku dan alat bantu mengajar, serta dana pengelolaan yang memadai.     (PAR2)Pemerintah menunjang keberhasilan sistem pendidikan tersebut dengan menetapkan UU Nomor 20 Tahun 2003. Pada pasal 49 ayat (1) dinyatakan bahwa dana pendidikan selain gaji pendidik dan biaya pendidikan kedinasan dialokasikan minimal 20% dari Anggaran Pendapatan dan Belanja Negara (APBN) pada sektor pendidikan dan minimal 20% dari Anggaran Pendapatan dan Belanja Daerah (APBD). Alokasi dana untuk anggaran pendidikan tahun 2019 sebesar Rp492,5 triliun atau 20% dari belanja negara yang mencapai Rp2.461,1 triliun. Adapun target yang dicapai tahun ini adalah penerima Program Indonesia Pintar sebanyak 20,1 juta siswa, Bantuan Operasional Sekolah (BOS) 57 juta siswa, dan beasiswa Bidik Misi 472 ribu mahasiswa. Selain itu, untuk pembangunan 56 ribu ruang kelas melalui Kementerian Pendidikan, Kementerian Agama, Kementerian PUPR, maupun melalui Dana Alokasi Khusus. Data anggaran pendidikan Indonesia tahun 2011 – 2019 sesuai data statistik berikut. Tahun 2011 = 256,5 triliun ; Tahun 2013 = 337,8 triliun ; Tahun 2015 = 417,6 triliun ; Tahun 2017 = 445,9 triliun ; Tahun 2019 = 492,5 triliun ; Tahun 2012 = 300,1 triliun ; Tahun 2014 = 413 triliun ; Tahun 2016 = 425 triliun ; Tahun 2018 = 449,1 triliun Berdasarkan paragraf 1, manakah di bawah ini pernyataan yang benar?";Kurikulum termasuk sumber daya pendidikan.;Buku-buku pelajaran merupakan kurikulum pendidikan.;Alat bantu mengajar termasuk sumber daya pendidikan.;Tenaga kependidikan termasuk sumber daya pendidikan.;Dana pengelolaan yang memadai termasuk satuan pendidikan.;c;;;;;;Alat bantu mengajar adalah bagian dari sumber belajar. Sedangkan sumber belajar bagian dari sumber daya pendidikan. Jadi, pernyataan yang benar adalah alat bantu mengajar termasuk sumber daya pendidikan (C).
